Category,ID,Code_Original,Emoji_Code_2nd_Option,Emoji_Name,Emoji_Code_CASI,Emoji_Code_FINAL,Feeling
hand-fingers-partial,175,U+1F90F,U0001F90F,pinching_hand,\\\\U0001F90F\\,\'\\U0001f90f\,Neutral
hand-fingers-partial,176,U+270C,U000270C,victory_hand,\\\\U000270C\\,\'\\U000270c\,Positive
hand-fingers-partial,177,U+1F91E,U0001F91E,crossed_fingers,\\\\U0001F91E\\,\'\\U0001f91e\,Positive
hand-fingers-partial,178,U+1FAF0,U0001FAF0,hand_with_index_finger_and_thumb_crossed,\\\\U0001FAF0\\,\'\\U0001faf0\,Positive
hand-fingers-partial,179,U+1F91F,U0001F91F,love-you_gesture,\\\\U0001F91F\\,\'\\U0001f91f\,Positive
hand-fingers-partial,180,U+1F918,U0001F918,sign_of_the_horns,\\\\U0001F918\\,\'\\U0001f918\,Neutral
hand-fingers-partial,181,U+1F919,U0001F919,call_me_hand,\\\\U0001F919\\,\'\\U0001f919\,Positive
hand-single-finger,182,U+1F448,U0001F448,backhand_index_pointing_left,\\\\U0001F448\\,\'\\U0001f448\,Neutral
hand-single-finger,183,U+1F449,U0001F449,backhand_index_pointing_right,\\\\U0001F449\\,\'\\U0001f449\,Neutral
hand-single-finger,184,U+1F446,U0001F446,backhand_index_pointing_up,\\\\U0001F446\\,\'\\U0001f446\,Neutral
hand-single-finger,185,U+1F595,U0001F595,middle_finger,\\\\U0001F595\\,\'\\U0001f595\,Negative
hand-single-finger,186,U+1F447,U0001F447,backhand_index_pointing_down,\\\\U0001F447\\,\'\\U0001f447\,Neutral
hand-single-finger,187,U+261D,U000261D,index_pointing_up,\\\\U000261D\\,\'\\U000261d\,Neutral
hand-single-finger,188,U+1FAF5,U0001FAF5,index_pointing_at_the_viewer,\\\\U0001FAF5\\,\'\\U0001faf5\,Neutral
hand-fingers-closed,189,U+1F44D,U0001F44D,thumbs_up,\\\\U0001F44D\\,\'\\U0001f44d\,Positive
hand-fingers-closed,190,U+1F44E,U0001F44E,thumbs_down,\\\\U0001F44E\\,\'\\U0001f44e\,Negative
hand-fingers-closed,191,U+270A,U000270A,raised_fist,\\\\U000270A\\,\'\\U000270a\,Positive
hand-fingers-closed,192,U+1F44A,U0001F44A,oncoming_fist,\\\\U0001F44A\\,\'\\U0001f44a\,Positive
hand-fingers-closed,193,U+1F91B,U0001F91B,left-facing_fist,\\\\U0001F91B\\,\'\\U0001f91b\,Positive
hand-fingers-closed,194,U+1F91C,U0001F91C,right-facing_fist,\\\\U0001F91C\\,\'\\U0001f91c\,Positive
hands,195,U+1F44F,U0001F44F,clapping_hands,\\\\U0001F44F\\,\'\\U0001f44f\,Positive
hands,196,U+1F64C,U0001F64C,raising_hands,\\\\U0001F64C\\,\'\\U0001f64c\,Positive
hands,197,U+1FAF6,U0001FAF6,heart_hands,\\\\U0001FAF6\\,\'\\U0001faf6\,Positive
hands,198,U+1F450,U0001F450,open_hands,\\\\U0001F450\\,\'\\U0001f450\,Positive
hands,199,U+1F932,U0001F932,palms_up_together,\\\\U0001F932\\,\'\\U0001f932\,Positive
hands,200,U+1F91D,U0001F91D,handshake,\\\\U0001F91D\\,\'\\U0001f91d\,Positive
hands,201,U+1F64F,U0001F64F,folded_hands,\\\\U0001F64F\\,\'\\U0001f64f\,Positive
hand-prop,202,U+270D,U000270D,writing_hand,\\\\U000270D\\,\'\\U000270d\,Neutral
hand-prop,203,U+1F485,U0001F485,nail_polish,\\\\U0001F485\\,\'\\U0001f485\,Neutral
hand-prop,204,U+1F933,U0001F933,selfie,\\\\U0001F933\\,\'\\U0001f933\,Neutral
body-parts,205,U+1F4AA,U0001F4AA,flexed_biceps,\\\\U0001F4AA\\,\'\\U0001f4aa\,Neutral
body-parts,206,U+1F9BE,U0001F9BE,mechanical_arm,\\\\U0001F9BE\\,\'\\U0001f9be\,Neutral
body-parts,207,U+1F9BF,U0001F9BF,mechanical_leg,\\\\U0001F9BF\\,\'\\U0001f9bf\,Neutral
body-parts,208,U+1F9B5,U0001F9B5,leg,\\\\U0001F9B5\\,\'\\U0001f9b5\,Neutral
body-parts,209,U+1F9B6,U0001F9B6,foot,\\\\U0001F9B6\\,\'\\U0001f9b6\,Neutral
body-parts,210,U+1F442,U0001F442,ear,\\\\U0001F442\\,\'\\U0001f442\,Neutral
body-parts,211,U+1F9BB,U0001F9BB,ear_with_hearing_aid,\\\\U0001F9BB\\,\'\\U0001f9bb\,Neutral
body-parts,212,U+1F443,U0001F443,nose,\\\\U0001F443\\,\'\\U0001f443\,Neutral
body-parts,213,U+1F9E0,U0001F9E0,brain,\\\\U0001F9E0\\,\'\\U0001f9e0\,Neutral
body-parts,214,U+1FAC0,U0001FAC0,anatomical_heart,\\\\U0001FAC0\\,\'\\U0001fac0\,Neutral
body-parts,215,U+1FAC1,U0001FAC1,lungs,\\\\U0001FAC1\\,\'\\U0001fac1\,Neutral
